Branch,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,Rating
B,Female,Food and beverages,67.77,1,71.1585,2/4/2019,20:43,Credit card,6.5
C,Male,Food and beverages,59.59,4,250.278,1/19/2019,12:46,Cash,9.8
A,Male,Health and beauty,58.15,4,244.23,1/23/2019,17:44,Cash,8.4
A,Female,Sports and travel,97.48,9,921.186,3/14/2019,14:19,Ewallet,7.4
C,Male,Health and beauty,99.96,7,734.706,1/23/2019,10:33,Cash,6.1
C,Male,Electronic accessories,96.37,7,708.3195,1/9/2019,11:40,Cash,6
B,Female,Fashion accessories,63.71,5,334.4775,2/7/2019,19:30,Ewallet,8.5
B,Female,Health and beauty,14.76,2,30.996,2/18/2019,14:42,Ewallet,4.3
B,Male,Health and beauty,62,8,520.8,1/3/2019,19:08,Credit card,6.2
C,Male,Electronic accessories,82.34,10,864.57,3/29/2019,19:12,Ewallet,4.3
B,Male,Health and beauty,75.37,8,633.108,1/28/2019,15:46,Credit card,8.4
A,Female,Food and beverages,56.56,5,296.94,3/22/2019,19:06,Credit card,4.5
B,Female,Sports and travel,76.6,10,804.3,1/24/2019,18:10,Ewallet,6
A,Male,Electronic accessories,58.03,2,121.863,3/10/2019,20:46,Ewallet,8.8
B,Male,Fashion accessories,17.49,10,183.645,2/22/2019,18:35,Ewallet,6.6
C,Female,Electronic accessories,60.95,1,63.9975,2/18/2019,11:40,Ewallet,5.9
C,Male,Health and beauty,40.35,1,42.3675,1/29/2019,13:46,Ewallet,6.2
B,Female,Home and lifestyle,97.38,10,1022.49,3/2/2019,17:16,Ewallet,4.4
A,Male,Food and beverages,31.84,1,33.432,2/9/2019,13:22,Cash,7.7
A,Male,Home and lifestyle,65.82,1,69.111,2/22/2019,15:33,Cash,4.1
A,Female,Fashion accessories,88.34,7,649.299,2/18/2019,13:28,Cash,6.6
